leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400656,040065603223,0,0,0,0,0,0
0400680,040068000020,1,0,1,1,1,0
0400680,040068000021,0,0,1,1,1,0
0400680,040068000022,0,0,0,0,0,0
0400680,040068000023,0,0,0,0,0,0
0400680,040068000025,0,1,1,0,1,0
0400680,040068000026,0,0,1,0,1,0
0400680,040068000027,0,1,0,0,1,0
0400680,040068000028,0,0,1,1,0,0
0400680,040068000029,0,0,0,0,1,0
0400680,040068000030,0,0,0,0,1,0
0400680,040068000031,0,1,0,0,1,0
0400680,040068000032,0,0,1,1,1,1
0400680,040068000033,0,0,0,1,1,1
0400680,040068001001,0,1,0,1,1,0
0400680,040068001031,0,0,1,0,1,0
0400680,040068001286,0,0,0,0,0,0
0400680,040068001394,0,0,1,0,1,0
0400680,040068001525,0,0,1,1,1,0
0400680,040068002066,0,0,0,0,1,0
0400680,040068002198,0,0,0,1,1,1
0400680,040068003330,0,0,0,1,0,0
0400680,040068003517,0,0,0,0,1,0
0400720,040072000034,0,0,0,1,1,0
0400720,040072003466,0,0,0,0,0,0
0400745,040074502856,0,0,0,0,1,0
0400746,040074600717,1,0,0,1,1,0
0400746,040074602864,0,0,0,0,1,0
0400747,040074702795,0,0,0,0,0,0
0400748,040074802870,0,0,0,0,0,0
0400750,040075000039,0,0,0,0,0,0
0400751,040075102781,0,0,0,0,0,0
0400754,040075402819,0,0,0,0,0,0
0400755,040075502371,0,0,0,0,0,0
0400755,040075503029,0,0,0,0,0,0
0400756,040075602813,0,0,0,0,0,0
0400757,040075702820,1,1,1,0,0,0
0400758,040075802766,0,0,0,1,0,0
0400760,040076002911,0,0,0,1,0,0
0400763,040076302915,0,1,0,0,0,0
0400764,040076403051,0,0,0,1,0,0
0400766,040076602901,0,0,0,0,0,0
0400768,040076802913,0,0,0,0,0,0
0400769,040076902956,0,0,0,1,0,0
0400770,040077002903,0,0,0,1,0,0
0400771,040077102899,0,0,0,0,0,0
0400773,NA,0,0,0,NA,NA,NA
0400774,040077402934,0,0,0,0,0,0
0400775,040077502916,0,0,0,1,0,0
0400776,040077602387,0,0,0,0,0,0
0400778,040077802902,0,0,0,0,0,0
0400780,040078002928,0,0,0,1,0,0
0400781,040078102910,0,0,0,0,0,0
0400782,040078202954,0,0,0,1,NA,0
0400783,040078302932,0,0,0,1,0,0
0400785,040078502929,0,0,0,0,0,0
0400786,040078602885,0,0,0,0,0,0
0400787,040078702898,0,0,0,1,0,0
0400788,040078802999,0,0,0,0,0,0
0400789,040078902931,0,0,0,0,0,0
0400790,040079000040,0,1,1,1,0,0
0400790,040079000041,1,0,0,1,1,0
0400790,040079000043,0,0,0,1,0,0
0400790,040079001461,0,0,1,1,1,0
